entrezGeneId,hugoSymbol,name,oncogene,curatedIsoform,curatedRefSeq,geneAliases/0,tsg,geneAliases/1,geneAliases/2,geneAliases/3,geneAliases/4,geneAliases/5,geneAliases/6,geneAliases/7,geneAliases/8,geneAliases/9,geneAliases/10,geneAliases/11,geneAliases/12,geneAliases/13,geneAliases/14,geneAliases/15,geneAliases/16,geneAliases/17,geneAliases/18,geneAliases/19,geneAliases/20,geneAliases/21
6098,ROS1,"ROS proto-oncogene 1, receptor tyrosine kinase",TRUE,ENST00000368508,NM_002944.2,MCF3,FALSE,ROS,c-ros-1,,,,,,,,,,,,,,,,,,,
55252,ASXL2,"additional sex combs like 2, transcriptional regulator",FALSE,ENST00000435504,NM_018263.4,ASXH2,TRUE,,,,,,,,,,,,,,,,,,,,,
5079,PAX5,paired box 5,FALSE,ENST00000358127,NM_016734.2,ALL3,FALSE,BSAP,,,,,,,,,,,,,,,,,,,,
9175,MAP3K13,mitogen-activated protein kinase kinase kinase 13,FALSE,ENST00000265026,NM_004721.4,LZK,FALSE,MLK,MEKK13,,,,,,,,,,,,,,,,,,,
7128,TNFAIP3,TNF alpha induced protein 3,FALSE,ENST00000237289,NM_006290.3,TNFA1P2,FALSE,AISBL,OTUD7C,A20,,,,,,,,,,,,,,,,,,
23512,SUZ12,SUZ12 polycomb repressive complex 2 subunit,FALSE,ENST00000322652,NM_015355.2,CHET9,FALSE,JJAZ1,,,,,,,,,,,,,,,,,,,,
26585,GREM1,"gremlin 1, DAN family BMP antagonist",FALSE,ENST00000300177,NM_013372.6,PIG2,FALSE,CRCS4,DAND2,GREMLIN,HMPS,CKTSF1B1,IHG-2,DUP15q,C15DUPq,HMPS1,CRAC1,MPSH,DRM,,,,,,,,,
51162,EGFL7,EGF like domain multiple 7,FALSE,ENST00000308874,NM_201446.2,VE-STATIN,FALSE,ZNEU1,NEU1,,,,,,,,,,,,,,,,,,,
83931,STK40,serine/threonine kinase 40,FALSE,ENST00000373129,NM_032017.1,SHIK,FALSE,SgK495,,,,,,,,,,,,,,,,,,,,
4067,LYN,"LYN proto-oncogene, Src family tyrosine kinase",FALSE,ENST00000519728,NM_002350.3,p53Lyn,FALSE,p56Lyn,JTK8,,,,,,,,,,,,,,,,,,,
4068,SH2D1A,SH2 domain containing 1A,FALSE,ENST00000371139,NM_002351.4,XLPD,FALSE,LYP,XLPD1,SAP,DSHP,IMD5,SAP/SH2D1A,MTCP1,EBVS,XLP,,,,,,,,,,,,
998,CDC42,cell division cycle 42,FALSE,ENST00000344548,NM_001791.3,G25K,FALSE,CDC42Hs,TKS,,,,,,,,,,,,,,,,,,,
999,CDH1,cadherin 1,FALSE,ENST00000261769,NM_004360.3,LCAM,TRUE,CDHE,ECAD,CD324,Arc-1,UVO,,,,,,,,,,,,,,,,
4072,EPCAM,epithelial cell adhesion molecule,FALSE,ENST00000263735,NM_002354.2,HNPCC8,FALSE,EGP314,M4S1,MK-1,EGP40,KS1/4,TACSTD1,MIC18,ESA,TROP1,KSA,EGP-2,DIAR5,,,,,,,,,
7150,TOP1,topoisomerase (DNA) I,FALSE,ENST00000361337,NM_003286.2,TOPI,TRUE,,,,,,,,,,,,,,,,,,,,,
2033,EP300,E1A binding protein p300,FALSE,ENST00000263253,NM_001429.3,p300,TRUE,KAT3B,RSTS2,,,,,,,,,,,,,,,,,,,
2034,EPAS1,endothelial PAS domain protein 1,FALSE,ENST00000263734,NM_001430.4,MOP2,FALSE,HLF,PASD2,ECYT4,HIF2A,bHLHe73,,,,,,,,,,,,,,,,
126961,HIST2H3C,"histone cluster 2, H3c",FALSE,ENST00000369158,NM_021059.2,H3FN,FALSE,H3FM,H3F2,H3/M,H3,H3.2,,,,,,,,,,,,,,,,
7157,TP53,tumor protein p53,FALSE,ENST00000269305,NM_000546.5,TRP53,TRUE,BCC7,LFS1,P53,,,,,,,,,,,,,,,,,,
7158,TP53BP1,tumor protein p53 binding protein 1,FALSE,ENST00000382044,NM_001141980.1,TDRD30,TRUE,p53BP1,53BP1,p202,TP53,,,,,,,,,,,,,,,,,
4087,SMAD2,SMAD family member 2,FALSE,ENST00000262160,NM_001003652.3,hSMAD2,TRUE,JV18,MADH2,MADR2,JV18-1,hMAD-2,,,,,,,,,,,,,,,,
4088,SMAD3,SMAD family member 3,FALSE,ENST00000327367,NM_005902.3,MADH3,TRUE,LDS1C,HSPC193,LDS3,HsT17436,JV15-2,,,,,,,,,,,,,,,,
4089,SMAD4,SMAD family member 4,FALSE,ENST00000342988,NM_005359.5,JIP,TRUE,MADH4,MYHRS,DPC4,,,,,,,,,,,,,,,,,,
2042,EPHA3,EPH receptor A3,FALSE,ENST00000336596,NM_005233.5,ETK1,FALSE,HEK4,TYRO4,ETK,EK4,HEK,,,,,,,,,,,,,,,,
1019,CDK4,cyclin dependent kinase 4,TRUE,ENST00000257904,NM_000075.3,PSK-J3,FALSE,CMM3,,,,,,,,,,,,,,,,,,,,
2044,EPHA5,EPH receptor A5,FALSE,ENST00000273854,NM_004439.5,EK7,FALSE,CEK7,EHK-1,HEK7,EHK1,TYRO4,,,,,,,,,,,,,,,,
9212,AURKB,aurora kinase B,TRUE,ENST00000585124,NM_004217.3,PPP1R48,FALSE,AIK2,AIM1,STK12,ARK2,aurkb-sv2,aurkb-sv1,AurB,STK5,IPL1,AIM-1,,,,,,,,,,,
1021,CDK6,cyclin dependent kinase 6,TRUE,ENST00000265734,NM_001145306.1,PLSTIRE,FALSE,MCPH12,,,,,,,,,,,,,,,,,,,,
2045,EPHA7,EPH receptor A7,FALSE,ENST00000369303,NM_004440.3,EHK-3,FALSE,EK11,HEK11,EHK3,,,,,,,,,,,,,,,,,,
-2,Other Biomarkers,Other Biomarkers,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
55294,FBXW7,F-box and WD repeat domain containing 7,FALSE,ENST00000281708,NM_033632.3,FBX30,TRUE,hAgo,FBXW6,SEL-10,hCdc4,AGO,FBW6,SEL10,FBW7,CDC4,FBXO30,,,,,,,,,,,
2047,EPHB1,EPH receptor B1,FALSE,ENST00000398015,NM_004441.4,ELK,FALSE,EPHT2,Hek6,NET,,,,,,,,,,,,,,,,,,
1024,CDK8,cyclin dependent kinase 8,FALSE,ENST00000381527,NM_001260.1,K35,FALSE,,,,,,,,,,,,,,,,,,,,,
1026,CDKN1A,cyclin dependent kinase inhibitor 1A,FALSE,ENST00000244741,NM_078467.2,CIP1,TRUE,p21CIP1,CDKN1,WAF1,CAP20,P21,MDA-6,SDI1,,,,,,,,,,,,,,
1027,CDKN1B,cyclin dependent kinase inhibitor 1B,FALSE,ENST00000228872,NM_004064.3,CDKN4,TRUE,MEN1B,MEN4,P27KIP1,KIP1,,,,,,,,,,,,,,,,,
1029,CDKN2A,cyclin dependent kinase inhibitor 2A,FALSE,ENST00000304494,NM_000077.4,P16INK4A,TRUE,MTS1,TP16,P16INK4,INK4,P14ARF,P19ARF,CDK4I,MLM,CMM2,P14,MTS-1,P16,ARF,P19,INK4A,P16-INK4A,CDKN2,,,,
1030,CDKN2B,cyclin dependent kinase inhibitor 2B,FALSE,ENST00000276925,NM_004936.3,MTS2,TRUE,P15,TP15,INK4B,CDK4I,p15INK4b,,,,,,,,,,,,,,,,
1031,CDKN2C,cyclin dependent kinase inhibitor 2C,FALSE,ENST00000262662,NM_078626.2,p18-INK4C,TRUE,p18,INK4C,,,,,,,,,,,,,,,,,,,
3082,HGF,hepatocyte growth factor,TRUE,ENST00000222390,NM_000601.4,F-TCF,FALSE,SF,DFNB39,HPTA,HGFB,,,,,,,,,,,,,,,,,
8202,NCOA3,nuclear receptor coactivator 3,FALSE,ENST00000371998,NM_181659.2,TNRC14,FALSE,AIB-1,AIB1,SRC3,pCIP,CTG26,CAGH16,bHLHe42,KAT13B,TRAM-1,TNRC16,RAC3,SRC-3,ACTR,,,,,,,,
5133,PDCD1,programmed cell death 1,FALSE,ENST00000334409,NM_005018.2,hPD-l,FALSE,SLEB2,CD279,PD1,PD-1,hSLE1,hPD-1,,,,,,,,,,,,,,,
171023,ASXL1,"additional sex combs like 1, transcriptional regulator",FALSE,ENST00000375687,NM_015338.5,MDS,TRUE,BOPS,,,,,,,,,,,,,,,,,,,,
2064,ERBB2,erb-b2 receptor tyrosine kinase 2,TRUE,ENST00000269571,NM_004448.2,CD340,FALSE,MLN 19,TKR1,NGL,HER-2/neu,HER2,HER-2,NEU,,,,,,,,,,,,,,
2065,ERBB3,erb-b2 receptor tyrosine kinase 3,TRUE,ENST00000267101,NM_001982.3,ErbB-3,FALSE,p180-ErbB3,p45-sErbB3,LCCS2,c-erbB-3,c-erbB3,p85-sErbB3,MDA-BF-1,erbB3-S,HER3,,,,,,,,,,,,
2066,ERBB4,erb-b2 receptor tyrosine kinase 4,TRUE,ENST00000342788,NM_005235.2,ALS19,FALSE,p180erbB4,HER4,,,,,,,,,,,,,,,,,,,
7186,TRAF2,TNF receptor associated factor 2,FALSE,ENST00000247668,NM_021138.3,TRAP3,FALSE,MGC:45012,TRAP,,,,,,,,,,,,,,,,,,,
2068,ERCC2,"ERCC excision repair 2, TFIIH core complex helicase subunit",FALSE,ENST00000391945,NM_000400.3,EM9,TRUE,TTD,TFIIH,TTD1,COFS2,XPD,,,,,,,,,,,,,,,,
83990,BRIP1,BRCA1 interacting protein C-terminal helicase 1,FALSE,ENST00000259008,NM_032043.2,FANCJ,FALSE,OF,BACH1,,,,,,,,,,,,,,,,,,,
2071,ERCC3,"ERCC excision repair 3, TFIIH core complex helicase subunit",FALSE,ENST00000285398,NM_000122.1,GTF2H,TRUE,BTF2,TFIIH,TTD2,RAD25,XPB,,,,,,,,,,,,,,,,
139285,AMER1,APC membrane recruitment protein 1,FALSE,ENST00000330258,NM_152424.3,FAM123B,TRUE,OSCS,WTX,,,,,,,,,,,,,,,,,,,
2072,ERCC4,"ERCC excision repair 4, endonuclease catalytic subunit",FALSE,ENST00000311895,NM_005236.2,XFEPS,TRUE,FANCQ,RAD1,ERCC11,XPF,,,,,,,,,,,,,,,,,
25,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",TRUE,ENST00000318560,NM_005157.4,v-abl,FALSE,bcr/abl,JTK7,c-ABL1,c-ABL,ABL,p150,,,,,,,,,,,,,,,
2073,ERCC5,"ERCC excision repair 5, endonuclease",FALSE,ENST00000355739,NM_000123.3,ERCC5-201,FALSE,UVDR,ERCM2,XPGC,XPG,COFS3,,,,,,,,,,,,,,,,
1050,CEBPA,CCAAT/enhancer binding protein alpha,FALSE,ENST00000498907,NM_004364.3,C/EBP-alpha,TRUE,CEBP,,,,,,,,,,,,,,,,,,,,
2077,ERF,ETS2 repressor factor,FALSE,ENST00000222329,NM_006494.2,PE2,TRUE,CRS4,PE-2,,,,,,,,,,,,,,,,,,,
2078,ERG,"ERG, ETS transcription factor",TRUE,ENST00000288319,NM_182918.3,p55,FALSE,erg-3,,,,,,,,,,,,,,,,,,,,
3105,HLA-A,"major histocompatibility complex, class I, A",FALSE,ENST00000376809,NM_001242758.1,HLAA,TRUE,HLA-A11,HLA-A33,Aw-33,Aw-74,HLA-DRB1,HLA-DQB1,,,,,,,,,,,,,,,
1058,CENPA,centromere protein A,FALSE,ENST00000335756,NM_001809.3,CenH3,FALSE,CENP-A,,,,,,,,,,,,,,,,,,,,
3106,HLA-B,"major histocompatibility complex, class I, B",FALSE,ENST00000412585,NM_005514.6,HEL-S-83,TRUE,SPDA1,HLA-B39,B-4901,Bw-47,HLAB,HLA-B55,HLA-B-3905,Bw-50,HLA-B*45ZJ,HLA-B-3506,HLA-B15,HLA-B59,HLA-B-5502,HLA-B49,HLA-B-5602,HLA-Cw,AS,B-5001,HLA-B50,HLA-B61,HLA-DRB1
5156,PDGFRA,platelet derived growth factor receptor alpha,TRUE,ENST00000257290,NM_006206.4,PDGFR2,FALSE,RHEPDGFRA,GAS9,PDGFR-2,CD140A,,,,,,,,,,,,,,,,,
5159,PDGFRB,platelet derived growth factor receptor beta,TRUE,ENST00000261799,NM_002609.3,PDGFR1,FALSE,KOGS,PDGFR-1,JTK12,PDGFR,IBGC4,IMF1,PENTT,CD140B,,,,,,,,,,,,,
8233,ZRSR2,"zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2",FALSE,ENST00000307771,NM_005089.3,URP,FALSE,ZC3H22,U2AF1-RS2,U2AF1RS2,U2AF1L2,,,,,,,,,,,,,,,,,
8241,RBM10,RNA binding motif protein 10,FALSE,ENST00000329236,NM_001204468.1,GPATCH9,TRUE,S1-1,TARPS,DXS8237E,GPATC9,ZRANB5,,,,,,,,,,,,,,,,
5170,PDPK1,3-phosphoinositide dependent protein kinase 1,FALSE,ENST00000342085,NM_002613.4,PRO0461,FALSE,PDPK2,PDPK2P,PDK1,,,,,,,,,,,,,,,,,,
8242,KDM5C,lysine demethylase 5C,FALSE,ENST00000375401,NM_004187.3,MRXJ,TRUE,JARID1C,MRX13,MRXSCJ,MRXSJ,SMCX,DXS1272E,XE169,,,,,,,,,,,,,,
2099,ESR1,estrogen receptor 1,TRUE,ENST00000206249,NM_001122740.1,ESR,FALSE,ESTRR,Era,ER,ESRA,NR3A1,,,,,,,,,,,,,,,,
4149,MAX,MYC associated factor X,FALSE,ENST00000358664,NM_002382.4,bHLHd4,FALSE,,,,,,,,,,,,,,,,,,,,,
6199,RPS6KB2,ribosomal protein S6 kinase B2,FALSE,ENST00000312629,NM_003952.2,P70-beta-1,FALSE,P70-beta,P70-beta-2,STK14B,KLS,p70(S6K)-beta,S6K-beta2,S6K2,p70S6Kb,SRK,,,,,,,,,,,,
2115,ETV1,ETS variant 1,TRUE,ENST00000405192,NM_001163147.1,ER81,FALSE,,,,,,,,,,,,,,,,,,,,,
2118,ETV4,ETS variant 4,FALSE,ENST00000319349,NM_001079675.2,E1AF,FALSE,PEA3,PEAS3,E1A-F,,,,,,,,,,,,,,,,,,
2120,ETV6,ETS variant 6,TRUE,ENST00000396373,NM_001987.4,THC5,FALSE,TEL/ABL,TEL,,,,,,,,,,,,,,,,,,,
4170,MCL1,BCL2 family apoptosis regulator,FALSE,ENST00000369026,NM_021960.4,Mcl-1,FALSE,bcl2-L-3,MCL1S,EAT,TM,mcl1/EAT,MCL1-ES,BCL2L3,MCL1L,,,,,,,,,,,,,
7248,TSC1,tuberous sclerosis 1,FALSE,ENST00000298552,NM_000368.4,TSC,TRUE,LAM,,,,,,,,,,,,,,,,,,,,
10320,IKZF1,IKAROS family zinc finger 1,FALSE,ENST00000331340,ENST00000331340,CVID13,FALSE,IKAROS,PRO0758,LyF-1,LYF1,Hs.54452,ZNFN1A1,IK1,PPP1R92,,,,,,,,,,,,,
7249,TSC2,tuberous sclerosis 2,FALSE,ENST00000219476,NM_000548.3,PPP1R160,TRUE,TSC4,LAM,,,,,,,,,,,,,,,,,,,
2130,EWSR1,EWS RNA binding protein 1,TRUE,ENST00000397938,NM_005243.3,EWS,FALSE,EWS-FLI1,bK984G1.4,,,,,,,,,,,,,,,,,,,
7253,TSHR,thyroid stimulating hormone receptor,FALSE,ENST00000298171,NM_000369.2,CHNG1,FALSE,LGR3,hTSHR-I,,,,,,,,,,,,,,,,,,,
1111,CHEK1,checkpoint kinase 1,FALSE,ENST00000428830,NM_001274.5,CHK1,FALSE,,,,,,,,,,,,,,,,,,,,,
90,ACVR1,activin A receptor type 1,TRUE,ENST00000263640,NM_001111067.2,SKR1,FALSE,TSRI,FOP,ACVRLK2,ACTRI,ALK2,ACVR1A,,,,,,,,,,,,,,,
6237,RRAS,related RAS viral (r-ras) oncogene homolog,FALSE,ENST00000246792,NM_006270.3,,FALSE,,,,,,,,,,,,,,,,,,,,,
2145,EZH1,enhancer of zeste 1 polycomb repressive complex 2 subunit,FALSE,ENST00000428826,NM_001991.3,KMT6B,FALSE,,,,,,,,,,,,,,,,,,,,,
3169,FOXA1,forkhead box A1,TRUE,ENST00000250448,NM_004496.3,HNF3A,FALSE,TCF3A,,,,,,,,,,,,,,,,,,,,
4193,MDM2,MDM2 proto-oncogene,TRUE,ENST00000462284,NM_002392.5,hdm2,FALSE,HDMX,ACTFS,,,,,,,,,,,,,,,,,,,
8289,ARID1A,AT-rich interaction domain 1A,FALSE,ENST00000324856,NM_006015.4,MRD14,TRUE,hOSA1,BAF250a,C1orf4,hELD,SMARCF1,BM029,CSS2,OSA1,BAF250,B120,ELD,P270,,,,,,,,,
2146,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit,TRUE,ENST00000320356,NM_004456.4,ENX-1,FALSE,ENX1,EZH2b,WVS,WVS2,KMT6,KMT6A,EZH1,,,,,,,,,,,,,,
4194,MDM4,"MDM4, p53 regulator",TRUE,ENST00000367182,NM_002393.4,MRP1,FALSE,HDMX,MDMX,,,,,,,,,,,,,,,,,,,
8290,HIST3H3,"histone cluster 3, H3",FALSE,ENST00000366696,NM_003493.2,H3.4,FALSE,H3/g,H3FT,H3t,,,,,,,,,,,,,,,,,,
9314,KLF4,Kruppel like factor 4,FALSE,ENST00000374672,NM_004235.4,EZF,FALSE,GKLF,,,,,,,,,,,,,,,,,,,,
4207,BORCS8-MEF2B,BORCS8-MEF2B readthrough,FALSE,,,LOC729991-MEF2B,FALSE,MEF2B,MEF2BNB-MEF2B,,,,,,,,,,,,,,,,,,,
333932,HIST2H3A,"histone cluster 2, H3a",FALSE,ENST00000331491,NM_001005464.2,H3/o,FALSE,H3/n,,,,,,,,,,,,,,,,,,,,
6256,RXRA,retinoid X receptor alpha,FALSE,ENST00000481739,NM_002957.4,NR2B1,FALSE,,,,,,,,,,,,,,,,,,,,,
4214,MAP3K1,mitogen-activated protein kinase kinase kinase 1,FALSE,ENST00000399503,NM_005921.1,MEKK1,TRUE,MAPKKK1,MEKK,MEKK 1,SRXY6,,,,,,,,,,,,,,,,,
8312,AXIN1,axin 1,FALSE,ENST00000262320,NM_003502.3,AXIN,TRUE,PPP1R49,,,,,,,,,,,,,,,,,,,,
5241,PGR,progesterone receptor,FALSE,ENST00000325455,NM_000926.4,PR,FALSE,NR3C3,,,,,,,,,,,,,,,,,,,,
8313,AXIN2,axin 2,FALSE,ENST00000307078,NM_004655.3,AXIL,TRUE,ODCRCS,,,,,,,,,,,,,,,,,,,,
8314,BAP1,BRCA1 associated protein 1,FALSE,ENST00000460680,NM_004656.3,HUCEP-13,TRUE,hucep-6,UCHL2,,,,,,,,,,,,,,,,,,,
4221,MEN1,menin 1,FALSE,ENST00000337652,NM_000244.3,MEAI,TRUE,SCG2,,,,,,,,,,,,,,,,,,,,
2175,FANCA,Fanconi anemia complementation group A,FALSE,ENST00000389301,NM_000135.2,FANCH,TRUE,FA-H,FA1,FAA,FACA,FA,FAH,,,,,,,,,,,,,,,
2176,FANCC,Fanconi anemia complementation group C,FALSE,ENST00000289081,NM_000136.2,FA3,TRUE,FAC,FACC,,,,,,,,,,,,,,,,,,,
